effect_on,A,B,C,D,E,F,G,H,I,J,K
A,0.0,0.0,0.19273552035909564,0.0,0.0,0.0,-0.19065003535766198,0.08140949196222866,-0.07473020752543308,-0.44325614414107867,-0.1754028838299484
B,0.783545590041506,0.0,-0.19055202374376176,0.062237353185253155,0.0,0.017825665239606953,0.2327696445777214,0.0,0.13096988472520202,0.4987105972641163,0.14662183734930503
C,0.0,0.0,0.0,0.1312688678872148,0.16155825430225287,0.0,-0.0655588200182378,0.0,0.0,0.0,-0.032206551523843115
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032293763993705614,0.0
E,0.0,0.0,0.0,0.24868515258683796,0.0,0.023572036286224826,0.0,0.0,0.0,0.033448417288318974,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22641082317853678,0.0
G,0.0,0.0,0.0,0.0,0.0,0.9955488906706808,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.1451744474708436,0.06897655805009796,0.30371936883557654,0.0,0.16957976073614467,-0.3025123790483778,0.07512486396325792
I,0.0,0.0,0.0,0.0,0.0,0.0,-0.036843249264069906,0.0,0.0,0.7514653484594984,0.1976694956728379
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.042720907432504916,0.035587122076092444,-0.07803337980996145,0.0,0.0,0.0,0.0
